vendor,bag_name,notes,details,size,price
Ladro,Queen Anne,"Clementine, Fig, Hazelnut",['N/A'],12 oz,$17.00
Upper Left,"Andino, Peru","Plum, Chocolate, Caramel","['Certified Organic', 'Washed', '1000 - 2000 ft', 'South America', 'Peru']",10 oz,$16.00
Groundwork,Angel City,"Citrus, Date, Milk Chocolate",['N/A'],12 oz,$16.00
Cuvee,Stella Cometa,"Caramel, Hazelnut","['Direct Trade', '1000 - 2000 ft']",310 gr,$19.50
Gimme,Deep Disco Fairtrade Organic,"Blackberry, Cherry, Chocolate","['Fair Trade, Certified Organic', 'South America']",12 oz,$15.00
Zoka,Dominican Republic Cafe Kreyole,"Apricot, Lemon","['Direct Trade', 'Natural', 'Central America', 'Dominican Republic']",12 oz,$24.75
Quills,Night Owl,"Chocolate, Caramel, Tobacco","['South America', 'Guatemala']",12 oz,$15.00
Gimme,Eternal Flame Fairtrade Dark Roast,"Dark Chocolate, Smoky, Liquorice","['Fair Trade', 'South America']",12 oz,$15.00
Joe Coffee,Great Heights,"Chocolate, Molasses, Cinnamon","['Catuai', 'Natural', 'South America', 'Brazil']",12 oz,$15.00
Deeper Roots,Ethiopia Shantawene,"Blackberry, Stone Fruit, Red Fruit","['Heirloom', 'Natural', '2000 - 2400 ft', 'Africa', 'Ethiopia']",12 oz,$17.00
Cuvee,Karmadillo,"Dark Chocolate, Caramel, Rich","['Direct Trade', '1000 - 2000 ft']",12 oz,$15.00
Cuvee,Stella Cometa,"Caramel, Hazelnut","['Direct Trade', '1000 - 2000 ft']",12 oz,$15.00
Coffee Manufactory,04 Latin America,"Apricot, Cacao, Grapefruit","['Castillo', 'Washed', '3280 - 6561 ft', 'Central America', 'El Salvador']",12 oz,$20.50
Coffee Manufactory,03 Africa,"Honey, Blueberry, Dried Fruit","['Heirloom', 'Washed', '5478 - 6397 ft', 'Africa', 'Ethiopia']",12 oz,$21.50
Thou Mayest,Wild Child,"Lemon, Honey, Clean","['Heirloom', 'Washed', '1900 - 2000 ft', 'Africa', 'Ethiopia']",12 oz,$17.50
Joe Coffee,Big City,"Sugarcane, Baker's Chocolate, Roasted Almond","['Catuai', 'Natural', 'South America', 'Brazil']",12 oz,$15.00
PT's,Flor del Sol,"Cocoa Powder, Lemon, Raisin",['N/A'],10 oz,$15.00
Cuvee,Emporium Blend,"Red Fruit, Malted Milk, Earl Grey","['Direct Trade', '1000 - 2000 ft']",12 oz,$15.00
Quills,Inkwell,"Sugarcane, Cherry, Vanilla","['Washed', 'South America', 'Guatemala']",12 oz,$15.00
Cuvee,El Salvador,"Citrus, Rich, Tangerine","['Bourbon', 'Direct Trade', '1500 - 1800 ft', 'Central America', 'El Salvador']",12 oz,$15.00
Proud Mary,Colombia EA Decaf de Cana - Huila,"Mandarin Orange, Milk Chocolate, Stone Fruit","['Castillo', 'Washed', 'South America', 'Colombia']",250 gr,$17.00
Klatch,Decaf Espresso,"Chocolate, Dried Fruit, Rich",['N/A'],310 gr,$17.95
Wonderstate,Organic Star Valley Decaf,"Cream, Nutty","['Certified Organic', '1300 - 1700 ft', 'South America', 'Peru']",12 oz,$18.00
Temple,Decaffeinated Colombia,"Chocolate, Citrus, Cherry","['Caturra', '1750 - 1900 ft', 'South America', 'Colombia']",12 oz,$18.25
Ladro,Ladro Decaf,"Roasted Hazelnut, Grapefruit, Dark Chocolate",['N/A'],12 oz,$18.00
Doma,Bella Luna,"Almond, Caramel, Chocolate","['Organic', 'South America', 'Brazil']",12 oz,$19.50
Camellia,Decaf,"Butterscotch, Dried Fruit, Cocoa","['Natural & Honey', 'South America', 'Colombia']",12 oz,$18.00
Square One,Nightcap,"Rhubarb, Cacao, Cashew","['1200 - 2000 ft', 'South America', 'Colombia']",12 oz,$17.95
Ruby,Decaf Flume Seasonal Blend,"Maple, Nutmeg, Baked Apple","['1200 - 1750 ft', 'South America', 'Brazil']",12 oz,$17.00
Equator,Decaf Eye Of The Tiger Espresso,"Orange Marmalade, Cinnamon, Nutella","['Catuai', '3950 - 5900 ft', 'Central America', 'Guatemala']",12 oz,$18.50
Verve,Vancouver,"Almond, Cola, Honey","['1400 - 1500 ft', 'South America', 'Colombia']",12 oz,$19.75
Methodical,Repose Decaf,"Citrus, Strawberry, Coconut Sugar","['Caturra', '1750 - 1750 ft', 'South America', 'Colombia']",12 oz,$28.00
Klatch,Organic Decaf Guatemala,"Milk Chocolate, Sugarcane, Green Apple","['Washed', 'Central America', 'Guatemala']",310 gr,$19.95
Camber,Goodnight Moon Decaf,"Red Apple, Dark Chocolate, Honey","['Bourbon', 'Central America', 'El Salvador']",12 oz,$22.00
Iconik,Decaf,"Sugarcane, Raisin, Almond","['Central America', 'Mexico']",10 oz,$21.00
Metric,Decaf,"Apple Cider, Caramel, Citrus","['South America', 'Colombia']",10.5 oz,$19.50
Black & White,Sugarcane Decaf,"Caramel, Milk Chocolate, Cherry",['1000 - 1800 ft'],12 oz,$19.00
Gimme,Mexico Decaf de Agua Fairtrade Organic,"Fresh Citrus, Fudge, Vanilla","['Bourbon', 'Fair Trade, Certified Organic', '1000 - 1550 ft', 'Mexico']",12 oz,$18.00
Airship,Decaf Colombia,"Brown Sugar, Toffee, Plum","['Direct Trade', 'Washed', 'South America', 'Colombia']",310 gr,$18.00
Metric,Decaf,"Apple Cider, Caramel, Citrus","['South America', 'Colombia']",12 oz,$19.25
Bluestone Lane,Decaf Colombian,"Caramel, Chocolate, Roasted Peanuts","['South America', 'Colombia']",12 oz,$16.00
Panther,Decaf Mountain Water Brazil,"Cream, Chocolate, Red Fruit","['Catuai', 'Natural', 'South America', 'Brazil']",12 oz,$19.00
Cuvee,Jackalope Decaf,"Citrus, Malted Milk, Walnut","['Direct Trade', '1700 - 2000 ft', 'South America', 'Colombia']",12 oz,$17.75
Olympia,Decaf Asterisk,"Milk Chocolate, Caramel, Marshmallow","['South America', 'Colombia']",10 oz,$19.00
Yes Plz,Yes Plz Decaf,"Baker's Chocolate, Brown Sugar, Toffee","['Bourbon', 'Washed', '1300 - 2000 ft', 'Colombia']",12 oz,$22.00
Thou Mayest,Laid Back Decaf,"Caramel, Smoky","['South America', 'Colombia']",12 oz,$17.75
Madcap,Placebo,"Red Fruit, Caramel","['South America', 'Colombia']",10 oz,$18.00
Coava,Decaf Asprotimina,"Blueberry, Chocolate, Apple","['Caturra', 'Washed', '1400 - 1700 ft', 'South America', 'Colombia']",10.5 oz,$21.00
Olympia,Decaf Asterisk,"Milk Chocolate, Caramel, Marshmallow","['South America', 'Colombia']",12 oz,$22.00
Coffee Manufactory,00 Decaf,"Milk Chocolate, Raspberry, Lemon","['Washed', '1825 - 1825 ft', 'South America', 'Colombia']",12 oz,$18.75
