vendor,bag_name,notes,details,size,price
Joe Coffee,Benchmark,"Cacao, Spice, Caramel","['Washed', '1700 - 2000 ft', 'South America', 'Peru']",12 oz,$18.00
Color,Primary (Our Seasonal Blend),"Milk Chocolate, Cherry, Caramel","['Direct Trade', 'Washed', 'South America']",10 oz,$16.50
Groundwork,Wild Bloom Regenerative Organic Blend,"Milk Chocolate, Apple","['Direct Trade, Certified Organic, B Corp']",10 oz,$17.00
Airship,Black Bear,"Dark Chocolate, Roasted Walnuts, Smoked Plums","['Bourbon', 'Direct Trade', 'Honey', 'South America', 'El Salvador']",310 gr,$18.00
Zoka,Hidden City,"Chocolate, Molasses, Nutty",['South America'],12 oz,$18.25
Klatch,Organic Rainforest Blend,"Brown Sugar, Caramel, Dark Chocolate",['Central America'],310 gr,$17.95
Temple,Dharma Espresso Blend,"Cacao, Caramel, Nutty","['1000 - 1600 ft', 'South America']",12 oz,$17.75
Ladro,Diablo,"Walnut, Brown Sugar, Baker's Chocolate","['Fair Trade, Certified Organic']",12 oz,$17.00
Zoka,Hidden City,"Chocolate, Molasses, Nutty",['South America'],10 oz,$17.00
Groundwork,Black Gold,"Dark Chocolate, Roasted Hazelnut, Red Fruit",['N/A'],12 oz,$16.00
Wonderstate,Organic Heartstrings,"Dried Fruit, Milk Chocolate, Plum","['1300 - 2300 ft', 'Africa', 'Ethiopia']",12 oz,$18.00
Camber,Big Joy Espresso Blend,"Red Fruit, Spice","['1500 - 1950 ft', 'South America', 'Guatemala']",12 oz,$18.00
Kuma,Classic,"Caramel, Chocolate, Stone Fruit","['Bourbon', 'Direct Trade', 'Washed', '1750 - 2000 ft', 'South America', 'Guatemala']",12 oz,$17.50
Square One,Candy Bar,"Roasted Nuts, Cacao, Plum","['1200 - 1700 ft', 'Central America', 'Brazil']",12 oz,$15.95
Doma,Virgils,"Caramel, Cedar, Dark Chocolate",['Organic'],12 oz,$19.50
Doma,Vitos,"Honey, Molasses, Nougat",['South America'],12 oz,$18.50
Camellia,Comfort Zone,"Dark Chocolate, Almond","['Natural', 'South America', 'Brazil']",12 oz,$18.00
Gimme,Righteous (Organic),"Floral, Butterscotch, Candied Lime","['Typica', 'Fair Trade, Certified Organic', 'Washed', '1600 - 1600 ft']",12 oz,$18.00
Brandywine,Colombia - Santa Barbara Estate,"Dark Chocolate, Rich, Nutty","['Castillo', 'Washed', '1400 - 2000 ft', 'South America', 'Colombia']",12 oz,$19.00
Necessary,Blend,"Chocolate, Brown Sugar","['Castillo', 'B Corp', 'Washed', 'South America']",325 gr,$16.99
PT's,Cold Front,"Blackberry, Green Grape, Caramel",['N/A'],10 oz,$16.00
PT's,Southpaw Espresso,"Caramel, Sugarcane, Peach",['N/A'],10 oz,$16.00
PT's,Flying Monkey Espresso,"Chocolate, Honey",['South America'],10 oz,$16.00
Passenger,Stowaway,"Brown Sugar, Cocoa Powder, Orchid","['B Corp', 'Washed', '1600 - 1800 ft', 'El Salvador']",10 oz,$18.25
Metric,Seismic,"Mandarin Orange, Tamarind, Sweet Cream",['N/A'],10.5 oz,$19.00
Metric,En Masse,"Cherry, Nougat, Honey",['N/A'],10.5 oz,$18.00
Airship,Black Apple,"Black Cherry, Dark Chocolate, Juicy Orange","['Direct Trade', 'Washed', 'Africa', 'Ethiopia']",310 gr,$16.00
Wonderstate,Organic Flyway,"Caramel, Citrus, Dried Cherry","['Certified Organic', '1500 - 1800 ft', 'Central America', 'Guatemala']",12 oz,$18.00
Panther,Cold Brew,"Malted Milk, Dark Chocolate, Vanilla",['N/A'],12 oz,$17.00
KLLR,El Alacran,"Cooked Fruit, Dark Chocolate, Tobacco",['N/A'],12 oz,$22.00
Counter Culture Coffee,Forty-Six,"Dark Chocolate, Smoky","['Direct Trade, Certified Organic, B Corp', 'Washed']",12 oz,$17.50
Counter Culture Coffee,Hologram,"Cooked Fruit, Milk Chocolate, Syrupy","['Direct Trade, B Corp', 'Natural']",12 oz,$19.00
Counter Culture Coffee,Forty-Six,"Dark Chocolate, Smoky","['Direct Trade, Certified Organic, B Corp', 'Washed']",12 oz,$19.00
Thou Mayest,Super Ego,"Dark Chocolate, Cherry, Syrupy","['1200 - 1600 ft', 'Central America', 'Brazil']",12 oz,$17.50
Klatch,Blue Thunder Blend,"Rich, Smoky, Dark Chocolate",['Asia'],310 gr,$16.95
Madcap,Placebo,"Red Fruit, Caramel","['South America', 'Colombia']",12 oz,$21.00
Camellia,Ethereal,"Raspberry, Caramel","['Natural', 'South America', 'Brazil']",12 oz,$18.00
Doma,Lucia's,"Spice, Dried Fruit, Brown Sugar","['Bourbon', 'Certified Organic', 'Washed', 'Central America', 'Guatemala']",12 oz,$19.25
Verve,Seabright Blend,"Honeydew, Apricot, Hazelnut",['N/A'],12 oz,$19.75
Verve,Streetlevel Blend,"Clementine, Honeycomb, Red Apple",['China'],12 oz,$19.75
Wonderstate,Organic Driftless,"Plum, Toffee, Cocoa Powder","['Certified Organic', '1500 - 1900 ft', 'South America', 'Peru']",12 oz,$17.00
Passenger,Montecarlos,"Clementine, Roasted Nuts, Cocoa Powder","['Bourbon', 'B Corp', 'Washed', '1600 - 1800 ft', 'Central America', 'El Salvador']",10 oz,$19.00
Coffee Project NY,The Retro,"Chocolate, Cherry, Molasses",['N/A'],10 oz,$19.00
Iconik,"Brazil, Carmo de Minas","Chocolate, Red Wine","['Bourbon', 'Direct Trade', 'Natural', 'South America', 'Brazil']",10 oz,$21.00
Metric,Big Riff,"Stone Fruit, Dark Chocolate, Citrus",['N/A'],10.5 oz,$18.00
Metric,Colossus,"Fudge, Brown Sugar, Smoky",['N/A'],10.5 oz,$19.00
Sightglass,Owls Howl,"Cocoa Nib, Stone Fruit, Candied Orange Peel","['Direct Trade', 'Washed', 'Africa', 'Ethiopia']",12 oz,$20.50
Coffee Manufactory,11 Dark,"Milk Chocolate, Blackcurrant","['Caturra', 'Washed', '3300 - 5200 ft', 'Central America']",12 oz,$17.50
Temple,Riqueza Dark Blend,"Spice, Cocoa Powder, Caramel",['Central America'],12 oz,$17.75
Gimme,Honduras Angel BBs Fairtrade Organic,"Baked Apple, Chocolate, Cocoa","['Fair Trade, Certified Organic', 'Washed', '900 - 1650 ft', 'Central America', 'Honduras']",12 oz,$14.00
Airship,Buffalo Blend,"Caramel, Brown Sugar, Vanilla","['Bourbon', 'Direct Trade', 'Honey', '1700 - 1800 ft', 'Central America', 'Guatemala']",310 gr,$16.00
Madcap,Eureka,"Chocolate, Orange, Brown Sugar",['N/A'],10 oz,$18.00
Deeper Roots,Alchemy Espresso,"Cherry, Toffee, Chocolate","['Direct Trade', 'South America', 'Guatemala']",12 oz,$16.00
Zoka,Espresso Paladino,"Citrus, Chocolate",['South America'],12 oz,$19.00
Coava,Pacific Wonderland,Candied Walnuts,"['Washed', '1600 - 2000 ft', 'South America', 'Peru']",10.5 oz,$17.00
N/A,N/A,N/A,['N/A'],N/A,N/A
Gimme,Leftist (Fairtrade Organic),"Dark Chocolate, Cherry, Toffee","['Typica', 'Fair Trade, Certified Organic', 'Washed', '1600 - 2400 ft']",12 oz,$16.00
Zoka,Espresso Paladino,"Citrus, Chocolate",['South America'],12 oz,$17.75
Ruby,Organic August,"Berry, Honey, Milk Chocolate","['Organic', 'Washed', '1800 - 2200 ft', 'Africa', 'Ethiopia']",12 oz,$17.50
Ruby,Creamery Seasonal Blend,"Fig, Cherry, Dark Chocolate","['Heirloom', 'Washed', '1750 - 2000 ft', 'South America']",12 oz,$16.00
Equator,Mocha Java Fair Trade Organic,"Almond, Berry, Dark Chocolate","['Fair Trade', '4000 - 7380 ft', 'Africa', 'Ethiopia']",12 oz,$18.50
Ladro,Ladro Espresso,"Milk Chocolate, Cherry, Caramel",['N/A'],12 oz,$17.00
Gimme,Sumatra Gayo Highlands Dark Roast FT Organic,"Caramel, Smoked Plums, Bittersweet Chocolate","['Fair Trade, Certified Organic', 'Wet-hulled', '1200 - 1500 ft', 'Asia', 'Indonesia']",12 oz,$20.00
Groundwork,Big Shot,"Blackstrap Molasses, Dried Fruit, Praline",['N/A'],12 oz,$16.00
Gimme,Honduras Santa Barbara Highlands Dark Org FT,"Cherry, Bittersweet Chocolate, Toasted Walnut","['Pacas', 'Fair Trade, Certified Organic', 'Washed', '1800 - 1800 ft', 'Central America', 'Honduras']",12 oz,$16.00
Panther,West Coast Espresso,"Lemonade, Malted Chocolate, Raspberry",['N/A'],12 oz,$16.00
Doma,Dominics,"Caramel, Molasses, Raisin",['Organic'],12 oz,$19.50
Groundwork,Golden Hour,"Brown Sugar, White peach","['Direct Trade, Organic, Certified Organic, B Corp', 'South America', 'Peru']",12 oz,$18.00
